mandante,societa,conto,importo,data
130,1000,U.7.01.01.02.001,81.40,2016-01-11
130,1000,U.7.01.99.03.001,75000.00,2016-01-11
130,1000,U.1.04.01.02.003,7767.96,2016-01-12
130,1000,U.1.04.01.02.008,864.30,2016-01-12
130,1000,U.1.04.04.01.001,20860.76,2016-01-12
130,1000,E.9.01.01.02.001,5126.77,2016-01-13
130,1000,E.9.01.03.01.001,1700.00,2016-01-13
130,1000,U.1.01.02.01.999,250.00,2016-01-13
130,1000,U.1.03.01.02.009,2210.03,2016-01-13
130,1000,U.1.03.02.07.999,2087.40,2016-01-13
130,1000,U.1.03.02.09.004,15997.09,2016-01-13
130,1000,U.1.03.02.10.002,5612.00,2016-01-13
130,1000,U.1.03.02.11.999,7108.00,2016-01-13
130,1000,U.1.03.02.13.999,6305.85,2016-01-13
130,1000,U.1.03.02.18.001,10002.00,2016-01-13
130,1000,U.1.03.02.99.003,81163.08,2016-01-13
130,1000,U.1.04.04.01.001,2604.50,2016-01-13
130,1000,E.9.01.01.02.001,49.00,2016-01-14
130,1000,U.1.03.02.02.005,539.00,2016-01-14
130,1000,E.3.01.03.01.003,6499.80,2016-01-15
130,1000,U.1.04.04.01.001,166710.21,2016-01-15
130,1000,E.9.02.99.99.999,490.00,2016-01-18
130,1000,U.7.02.99.99.999,490.00,2016-01-18
130,1000,E.9.01.01.02.001,2700.50,2016-01-19
130,1000,E.9.01.03.01.001,904.80,2016-01-19
130,1000,E.9.01.99.03.001,911.25,2016-01-19
130,1000,U.1.03.01.02.001,4002.20,2016-01-19
130,1000,U.1.03.02.02.001,852.02,2016-01-19
130,1000,U.1.03.02.02.999,59.23,2016-01-19
130,1000,U.1.03.02.09.004,10911.90,2016-01-19
130,1000,U.1.03.02.11.999,5519.28,2016-01-19
130,1000,U.1.04.01.02.003,685.04,2016-01-19
130,1000,U.1.04.04.01.001,18700.00,2016-01-19
130,1000,E.3.03.03.04.001,213.56,2016-01-20
130,1000,E.3.05.99.99.999,445.40,2016-01-20
130,1000,E.9.01.01.02.001,580.52,2016-01-20
130,1000,U.1.03.01.02.002,346.71,2016-01-20
130,1000,U.1.03.02.02.005,2318.00,2016-01-20
130,1000,U.1.03.02.05.003,2487.50,2016-01-20
130,1000,U.1.03.02.16.002,20000.00,2016-01-20
130,1000,U.1.04.01.02.003,7605.18,2016-01-20
130,1000,U.1.04.04.01.001,5128.14,2016-01-20
130,1000,E.9.01.01.02.001,1058.21,2016-01-21
130,1000,U.1.03.02.05.002,8562.52,2016-01-21
130,1000,E.9.01.01.02.001,2.64,2016-01-22
130,1000,E.9.01.02.01.001,7598.12,2016-01-22
130,1000,U.1.03.02.01.001,24568.68,2016-01-22
130,1000,U.1.03.02.01.002,1687.20,2016-01-22
130,1000,E.3.05.99.99.999,3497.52,2016-01-25
130,1000,E.9.01.01.02.001,1790.26,2016-01-25
130,1000,E.9.01.02.01.001,346720.23,2016-01-25
130,1000,E.9.01.99.03.001,101.50,2016-01-25
130,1000,E.9.02.99.99.999,7657.93,2016-01-25
130,1000,U.1.03.01.01.001,4294.20,2016-01-25
130,1000,U.1.03.02.01.001,630677.70,2016-01-25
130,1000,U.1.03.02.01.002,366122.40,2016-01-25
130,1000,U.1.03.02.04.002,1900.00,2016-01-25
130,1000,U.1.03.02.05.003,3936.60,2016-01-25
130,1000,U.1.03.02.09.001,1143.79,2016-01-25
130,1000,U.1.03.02.18.001,4831.20,2016-01-25
130,1000,U.1.04.02.01.001,538424.33,2016-01-25
130,1000,U.1.04.04.01.001,1966.65,2016-01-25
130,1000,U.7.02.99.99.999,4588.99,2016-01-25
130,1000,E.3.03.03.04.001,0.51,2016-01-26
130,1000,E.3.05.99.99.999,1961.87,2016-01-26
130,1000,E.9.01.01.02.001,42582.10,2016-01-26
130,1000,E.9.01.03.01.001,1903.20,2016-01-26
130,1000,E.9.02.99.99.999,5962.41,2016-01-26
130,1000,U.1.01.02.01.999,366.00,2016-01-26
130,1000,U.1.03.01.02.001,640.53,2016-01-26
130,1000,U.1.03.02.05.003,20887.35,2016-01-26
130,1000,U.1.03.02.07.006,4599.98,2016-01-26
130,1000,U.1.03.02.07.007,5975.41,2016-01-26
130,1000,U.1.03.02.09.004,10123.76,2016-01-26
130,1000,U.1.03.02.09.011,8400.30,2016-01-26
130,1000,U.1.03.02.10.001,10162.49,2016-01-26
130,1000,U.1.03.02.11.999,11243.52,2016-01-26
130,1000,U.1.03.02.13.001,177659.72,2016-01-26
130,1000,U.1.03.02.13.999,300.83,2016-01-26
130,1000,U.1.04.05.04.001,350.00,2016-01-26
