mandante,societa,conto,importo,data
130,1000,U.1.03.02.13.005,190.00,2016-01-29
130,1000,U.1.03.02.13.005,258.50,2016-01-29
130,1000,U.1.03.02.13.005,119.40,2016-01-29
130,1000,U.1.03.02.13.005,32.10,2016-01-29
130,1000,U.1.03.02.13.005,2.52,2016-01-29
130,1000,U.1.03.02.13.005,2.52,2016-01-29
130,1000,U.1.03.02.13.005,2.52,2016-01-29
130,1000,U.1.03.02.13.005,75.00,2016-01-29
130,1000,U.1.03.02.13.005,15.00,2016-01-29
130,1000,U.1.03.02.13.005,17.50,2016-01-29
130,1000,U.1.03.02.13.005,19.30,2016-01-29
130,1000,U.1.03.02.13.005,35.00,2016-01-29
130,1000,U.1.03.02.13.005,185.00,2016-01-29
130,1000,U.1.03.02.02.001,169.89,2016-01-29
130,1000,U.1.03.02.01.008,5248.16,2016-02-02
130,1000,U.1.03.02.11.999,1300.00,2016-02-03
130,1000,U.1.03.02.11.999,9678.78,2016-02-03
130,1000,U.1.04.01.02.003,527.90,2016-02-03
130,1000,U.7.01.03.01.001,4508.00,2016-02-05
130,1000,U.1.02.01.01.001,681.21,2016-02-05
130,1000,U.1.02.01.01.001,107.56,2016-02-05
130,1000,U.1.03.01.02.001,990.87,2016-02-09
130,1000,U.1.03.01.01.001,706.45,2016-02-09
130,1000,U.1.03.02.07.008,8.37,2016-02-09
130,1000,U.1.10.04.01.003,4612.76,2016-02-09
130,1000,U.1.03.02.02.999,528.00,2016-02-11
130,1000,U.1.04.04.01.001,219.60,2016-01-20
130,1000,U.1.04.01.02.003,1849.00,2016-01-20
130,1000,U.1.04.01.02.003,1800.00,2016-01-20
130,1000,U.1.04.04.01.001,1413.45,2016-01-20
130,1000,U.1.03.02.01.002,1687.20,2016-01-22
130,1000,U.1.03.01.01.001,179.00,2016-03-30
130,1000,U.1.03.02.11.999,100.00,2016-04-01
130,1000,U.1.03.02.11.999,315.09,2016-04-05
130,1000,U.1.03.02.09.004,2305.80,2016-04-05
130,1000,U.7.01.02.01.001,676.87,2016-04-07
130,1000,U.1.03.02.07.006,3660.00,2016-04-07
130,1000,U.1.03.02.05.003,100.00,2016-04-06
130,1000,U.1.02.01.01.001,45861.01,2016-04-11
130,1000,U.1.02.01.01.001,250.14,2016-04-11
130,1000,U.1.02.01.01.001,882.00,2016-04-11
130,1000,U.1.03.01.01.001,149.99,2016-04-12
130,1000,U.1.03.02.16.999,24728.18,2016-04-08
130,1000,U.7.01.02.99.999,398.35,2016-04-12
130,1000,U.1.03.02.01.002,366122.40,2016-01-25
130,1000,U.7.02.99.99.999,1676.21,2016-01-25
130,1000,U.7.02.99.99.999,815.48,2016-01-25
130,1000,U.1.03.01.01.001,207.30,2016-01-25
130,1000,U.1.03.01.01.001,555.80,2016-01-25
130,1000,U.1.03.01.01.001,63.40,2016-01-25
130,1000,U.1.03.01.01.001,924.70,2016-01-25
130,1000,U.1.03.01.01.001,1945.10,2016-01-25
130,1000,U.1.03.01.01.001,597.90,2016-01-25
130,1000,U.1.03.02.04.002,1900.00,2016-01-25
130,1000,U.1.04.04.01.001,237.70,2016-01-25
130,1000,U.1.04.04.01.001,791.52,2016-01-25
130,1000,U.1.04.04.01.001,937.43,2016-01-25
130,1000,U.1.03.02.05.003,1512.80,2016-01-25
130,1000,U.1.03.02.05.003,2423.80,2016-01-25
130,1000,U.1.04.04.01.001,300.00,2016-01-20
130,1000,U.1.03.02.07.008,691.96,2016-06-27
130,1000,U.1.03.02.07.006,347.70,2016-06-28
130,1000,U.1.03.01.01.001,570.70,2016-06-28
130,1000,U.1.03.02.09.004,10956.80,2016-06-28
130,1000,U.1.03.02.10.001,26520.00,2016-07-07
130,1000,U.1.03.02.04.002,550.00,2016-07-05
130,1000,U.1.01.01.02.002,1058.15,2016-07-05
130,1000,U.1.01.01.02.002,1913.60,2016-07-05
130,1000,U.1.01.01.02.002,20143.44,2016-07-05
130,1000,U.1.01.01.02.002,4752.80,2016-07-05
130,1000,U.1.01.01.02.002,1257.14,2016-07-05
130,1000,U.1.03.02.01.001,10376.28,2016-01-22
130,1000,U.1.03.02.01.001,66942.00,2016-01-25
130,1000,U.7.02.99.99.999,1585.81,2016-01-25
130,1000,U.7.02.99.99.999,511.49,2016-01-25
130,1000,U.1.04.02.01.001,538424.33,2016-01-25
130,1000,U.1.03.02.01.001,563735.70,2016-01-25
130,1000,U.1.03.02.05.002,308.96,2016-06-21
130,1000,U.1.03.02.05.002,58.65,2016-06-21
130,1000,U.1.03.02.05.002,55.10,2016-06-21
